likes	coms	favs	size
27	31	0	1632
33	74	1	2526
56	33	1	4356
86	139	2	5108
7	27	1	737
7	1	0	901
33	39	2	6851
38	8	1	1101
30	39	0	1569
24	22	0	1569
33	10	1	1860
9	17	0	403
46	68	1	6799
22	32	1	2186
26	27	1	782
21	65	0	3049
28	11	1	1645
40	88	1	2448
16	12	0	2079
3	0	0	449
47	7	0	634
28	11	1	432
53	57	1	4673
8	27	0	338
95	99	1	3728
21	62	0	2702
43	48	1	529
30	6	2	2015
11	2	0	625
16	16	0	984
25	24	1	1058
56	78	1	1798
22	11	0	1669
3	5	0	591
17	8	1	741
39	13	1	1668
72	256	6	2687
34	42	1	1580
38	40	0	941
35	49	1	5391
74	92	4	7131
59	46	1	5758
15	59	1	1470
19	37	1	1662
11	1	1	1481
11	6	0	736
34	14	0	2665
18	3	1	1275
7	29	0	685
5	0	0	684
43	34	1	2810
4	5	0	356
65	59	12	4947
32	136	2	1674
39	9	1	2398
22	13	1	3413
12	17	0	696
46	31	1	5205
30	14	1	2850
26	46	0	2568
28	1	1	943
79	113	1	2482
23	44	0	1742
14	9	0	1798
26	35	0	2768
3	2	0	406
23	18	2	2376
92	23	5	2545
40	108	1	3011
53	31	3	2513
31	19	0	1212
108	129	6	2685
14	1	0	2665
65	15	1	1429
62	21	1	3141
35	44	0	2181
32	21	0	2296
32	37	0	1000
30	9	1	1615
18	28	0	2715
33	18	1	2449
116	63	1	5171
25	14	0	1297
13	5	0	809
41	73	1	3189
41	10	8	7055
29	3	0	1785
21	23	0	2137
31	34	0	1764
39	24	1	2935
27	2	3	980
16	1	0	1521
24	5	0	2969
34	18	0	1641
21	15	1	1607
15	1	0	1836
30	50	0	1085
32	24	1	3447
28	4	1	1248
23	0	0	1351
30	22	0	2783
55	44	6	10990
35	66	1	1425
24	13	0	1074
22	16	0	971
23	9	1	2897
71	39	1	5422
33	22	1	2002
12	5	0	1654
26	32	1	1235
37	44	1	11122
109	121	8	3769
19	7	0	1341
9	4	0	455
54	12	8	5434
23	18	0	2481
14	5	1	2625
80	34	1	1686
27	24	0	2841
23	8	0	1412
32	8	1	1488
0	43	0	3870
81	62	9	7096
38	14	1	1202
42	28	1	1921
51	48	1	2175
51	25	1	1568
39	19	1	814
28	18	1	2537
26	51	0	2356
70	210	1	2100
39	20	1	3106
20	8	0	1149
47	33	1	1836
36	37	1	1225
113	39	21	5622
36	30	0	1870
21	27	0	2169
18	4	0	1151
35	12	2	1676
26	11	1	3327
30	21	0	1113
42	11	1	4782
31	26	0	1618
32	45	0	3282
57	38	1	7591
24	15	0	1258
20	14	0	1676
17	17	1	1342
12	11	0	750
77	59	1	8673
28	7	0	1123
13	30	0	1355
41	14	1	1675
46	24	1	2228
47	38	4	7403
14	3	0	2703
17	11	0	1998
25	6	0	673
20	5	0	1481
28	13	1	1366
36	47	0	2496
43	27	0	1689
44	42	1	3372
12	10	1	802
18	17	0	2119
33	13	1	1288
13	13	0	893
28	24	0	1973
14	1	0	1949
24	8	0	1822
27	8	0	2206
19	14	0	1571
26	7	0	1275
51	155	1	3011
25	9	0	1574
60	51	1	1334
28	4	0	1460
20	11	1	979
36	29	1	1807
21	11	0	883
37	5	1	2215
47	24	1	2252
41	19	0	2353
29	26	1	5207
46	21	1	6705
39	41	0	2099
30	8	1	1284
49	16	0	2116
35	115	2	5926
69	37	0	1633
15	0	0	2144
97	22	22	6367
19	3	1	2075
37	22	1	6560
17	35	0	1229
16	13	1	1998
18	21	0	1377
27	34	0	1380
40	56	1	1635
25	6	0	1438
64	187	1	3096
45	29	14	2000
45	38	1	3297
24	17	1	1455
37	18	1	2789
19	11	0	1379
66	35	1	4830
54	42	1	1363
42	40	2	2620
17	1	0	2174
38	44	1	2317
63	9	9	2717
26	12	0	2336
38	85	6	3434
23	18	1	1684
28	13	0	3417
32	9	0	1251
34	5	1	1607
26	24	0	3043
38	29	3	8220
33	7	0	3273
26	3	0	2262
32	17	0	5825
30	4	1	4452
34	14	0	6752
26	1	0	5930
29	41	0	7212
52	11	0	2674
47	24	0	1520
32	10	0	1038
43	25	0	1967
21	11	0	1715
59	27	1	5000
16	12	0	523
15	2	0	1319
33	25	1	4743
28	14	0	2390
23	4	1	1776
27	13	0	1744
18	1	0	1487
12	4	0	1901
21	14	0	2360
36	21	14	11250
28	6	0	2413
16	15	0	1047
41	25	1	1854
29	26	1	4484
54	32	1	5683
14	6	0	1272
70	53	1	2629
13	9	0	1839
22	16	1	2208
34	42	0	2396
142	68	4	3579
20	6	0	3933
30	25	1	1519
18	59	1	2828
19	0	1	1306
14	8	0	2165
43	8	24	16553
83	62	1	5759
55	24	0	2510
25	18	0	3819
50	14	1	3357
30	21	0	2403
25	3	0	936
11	4	0	617
33	19	0	2928
46	79	1	2188
41	29	0	1383
25	14	1	3206
15	6	0	993
26	6	1	2528
17	4	0	916
19	36	0	1307
75	85	1	3125
36	21	0	1640
43	30	1	1573
26	4	0	1840
22	9	0	1847
70	43	1	7425
31	18	0	1814
57	26	1	1785
23	13	1	1657
32	32	1	595
30	9	3	7159
41	29	3	6815
48	20	1	2611
62	22	0	2571
20	8	0	2192
20	11	0	1829
18	6	0	1150
51	10	4	1536
70	50	1	6383
40	20	1	1931
24	14	3	4977
36	87	1	2655
34	30	1	2515
51	41	1	2680
15	4	0	1865
29	2	0	1806
86	78	4	6002
28	4	0	3036
25	5	0	2497
105	26	1	3764
17	4	1	1257
43	30	1	2972
91	29	1	3979
59	23	1	1994
35	74	0	2344
29	7	1	1357
23	11	0	2162
33	19	1	1986
29	3	0	1662
39	7	1	2165
42	7	0	1744
18	29	0	3622
20	3	0	2844
30	23	1	3460
42	32	1	3836
8	1	0	1447
52	20	1	1917
16	2	0	1473
53	35	1	5556
16	9	1	1107
28	35	0	1284
16	0	0	1973
19	0	0	2378
87	60	1	5079
38	9	14	18869
32	9	1	2849
23	3	1	1913
17	15	0	2911
51	5	1	2357
37	21	2	1901
41	27	0	5360
15	7	0	2937
18	4	0	1802
22	6	1	4819
29	6	1	2158
28	7	1	2739
37	29	0	3749
27	13	1	2626
48	26	1	18079
19	13	0	2834
431	96	27	2448
26	4	0	2889
40	22	0	1356
28	14	1	2989
30	23	1	3051
20	5	0	2511
25	4	1	1851
74	40	1	1882
40	23	1	3369
18	3	0	1896
28	17	1	1860
114	64	1	3262
23	9	0	1837
38	11	1	6247
36	11	0	1946
23	0	1	2242
34	16	1	4335
22	22	1	1511
40	21	1	2977
32	27	2	1905
59	44	1	2296
46	40	1	3473
19	0	0	2624
75	25	1	5162
16	1	0	2747
15	12	0	2535
20	10	0	3615
26	24	0	1797
22	17	0	4032
34	16	0	2102
29	39	0	4412
63	24	3	4136
24	28	0	2674
89	105	1	8146
56	15	0	1765
23	35	0	2326
14	32	0	2874
39	21	0	2025
32	4	0	2002
56	35	0	1747
42	72	1	4886
34	20	1	4666
21	16	1	2357
28	5	0	2076
24	14	0	2057
30	7	0	1386
21	11	1	1954
36	42	0	2282
111	63	4	2705
38	4	0	2914
46	7	4	2461
25	10	1	3328
22	11	0	2925
31	23	0	1424
19	3	0	2261
17	1	0	1756
20	16	0	1846
45	37	0	2772
24	18	1	11321
45	75	2	5765
43	23	1	362
23	13	0	2275
56	23	5	3125
44	31	1	2682
37	12	1	1942
54	16	0	2807
20	4	0	1979
25	15	0	2985
14	7	0	1678
23	11	0	4301
42	82	0	3106
17	3	0	2379
18	7	0	1556
35	11	0	1640
44	22	1	5848
20	4	0	2444
18	27	0	2948
23	18	0	2770
27	72	1	6533
17	8	0	3314
33	3	0	2465
28	9	0	3426
22	9	1	2551
19	7	0	1380
24	9	0	4139
28	8	0	2414
37	10	1	2125
22	4	1	3039
93	72	1	4707
26	26	0	2943
24	12	1	2567
27	21	0	3099
21	174	0	5213
47	15	2	2530
37	33	1	2330
70	21	3	5152
27	17	1	1545
17	3	0	2569
19	12	0	2397
38	36	13	7590
34	23	1	2344
20	19	0	1541
25	5	1	2539
18	3	0	2425
37	72	0	1856
19	13	0	1731
20	2	0	1593
30	8	1	1936
46	27	1	7060
16	13	0	1351
32	18	1	1452
23	2	1	1387
15	2	0	1872
24	10	0	3061
16	5	0	1984
35	10	4	4175
42	2	1	2745
15	4	0	2532
20	6	1	2922
24	37	0	4125
58	14	1	1554
28	33	1	9161
39	9	0	3719
41	16	1	7405
37	33	0	2140
29	8	1	2703
47	2	0	1633
32	30	1	6739
38	64	0	3818
13	5	0	1642
45	22	1	2018
53	31	7	22542
24	118	0	1839
23	7	0	999
17	17	0	2324
41	28	1	1753
25	79	3	9235
55	10	1	2243
29	32	0	3088
69	97	15	19281
22	13	0	1453
28	12	0	2042
61	20	1	2724
23	14	2	3300
33	27	0	1330
53	26	2	6072
30	23	0	2228
42	89	0	1627
27	13	0	1376
31	31	0	1742
68	28	11	3302
26	37	1	5260
235	123	3	1532
16	2	0	1833
26	18	1	3654
39	39	1	5416
37	53	1	2475
75	50	1	5186
46	3	1	1522
23	33	5	4155
31	17	1	2461
18	2	1	1273
48	80	1	2483
32	20	1	1561
28	3	0	2084
53	37	4	11374
37	13	0	2701
40	30	0	6216
20	8	1	1195
12	7	1	2634
25	3	0	2505
10	2	0	1850
30	20	1	2772
26	21	0	1857
15	17	0	4201
22	6	1	2093
33	4	0	3463
29	24	1	2476
16	0	0	2357
37	18	0	1410
10	4	0	2268
34	21	1	2519
69	106	5	2344
23	3	1	3139
65	18	1	5197
27	40	0	1384
21	3	0	1969
39	8	2	4805
12	4	0	1597
47	51	5	5535
16	13	0	1731
14	4	1	3615
46	24	0	2854
12	8	1	1686
23	25	0	2565
37	56	0	3726
38	15	1	1177
17	4	1	2286
25	10	1	2778
41	18	1	5093
35	15	0	4237
29	56	1	3108
73	29	0	5713
34	11	1	3215
0	0	0	3213
0	0	0	3213
0	0	0	3213
26	23	1	2013
5	0	0	1434
69	24	0	2066
31	11	19	2098
66	53	9	678
19	7	8	683
46	21	16	1296
18	20	2	1181
56	37	6	914
54	36	5	1786
62	70	12	509
58	283	21	2027
52	24	14	1407
38	13	7	1331
71	45	11	1121
142	115	26	554
87	26	17	441
185	216	34	2817
43	80	12	1135
52	79	39	664
99	58	9	1601
30	27	2	1709
45	47	7	1228
50	23	11	1084
56	18	56	3527
137	63	39	1509
51	20	21	1280
129	87	13	1362
42	5	7	1164
158	112	22	1329
238	110	103	3200
65	38	12	2556
231	180	35	925
138	654	43	2871
61	90	7	804
57	29	43	1106
94	39	18	1132
34	27	13	2313
230	44	26	1027
33	58	4	757
1420	864	264	3759
25	17	6	1455
67	74	10	1315
70	107	13	1166
80	111	226	1233
49	29	12	1385
163	49	8	930
18	14	5	1464
122	39	25	3151
53	30	10	1125
38	36	4	1022
138	73	17	843
69	129	12	1777
108	78	44	1565
23	50	15	1744
104	158	17	1150
28	2	24	880
32	13	7	2255
188	56	17	2371
92	293	11	2160
49	40	9	1715
50	50	25	713
68	102	12	2102
30	31	13	1280
261	153	50	3022
164	66	41	659
40	58	8	531
31	46	9	489
275	373	21	3674
50	21	8	1827
179	69	30	825
51	17	13	1652
30	28	4	1094
88	39	25	459
199	329	54	3255
30	29	15	2690
24	12	10	1660
258	195	44	3197
114	19	78	5308
55	182	6	1391
257	113	28	1974
209	198	30	1213
238	255	29	1699
87	102	13	1494
72	103	17	1454
42	29	11	2451
51	64	12	2713
15	15	5	1216
28	17	15	878
283	48	38	1623
171	116	15	1110
83	59	8	1080
82	22	21	1193
48	36	17	1745
45	88	29	1029
331	96	50	4940
102	204	15	705
26	20	8	1554
50	14	47	1799
63	20	16	1512
82	31	63	646
28	12	4	1496
154	103	27	1618
126	216	19	1483
39	26	5	1681
63	43	14	1119
16	107	6	624
16	27	11	1249
145	158	17	2111
32	43	35	1169
34	31	5	1175
264	164	91	1306
130	160	7	2568
50	57	32	1487
28	40	3	946
61	19	16	1814
38	35	8	1845
217	354	55	2010
51	69	4	2128
62	33	13	1100
85	265	16	2134
27	66	18	795
50	76	4	613
65	24	11	1637
184	118	27	3626
35	7	11	717
98	83	17	2458
36	25	11	1364
139	32	17	866
114	76	14	2197
100	42	20	2718
268	571	28	1672
104	42	12	1088
25	6	6	758
88	58	19	1258
195	131	39	2344
41	69	17	2300
64	206	14	3307
119	59	13	2617
22	9	15	1087
200	48	95	1431
236	456	32	1658
49	20	12	1342
198	349	23	1250
63	66	13	1589
34	37	2	1479
31	4	6	1090
88	34	24	2990
195	40	124	3907
61	77	8	573
67	80	12	2645
81	28	19	1109
105	27	6	2796
52	52	7	2981
94	78	9	1403
32	27	21	4253
72	57	10	935
95	283	20	1363
80	0	8	2363
46	20	11	1188
94	77	11	1094
84	38	20	1265
60	13	19	4816
14	11	12	694
53	69	28	788
233	131	60	308
218	75	73	2646
235	281	24	1032
35	29	7	1035
27	35	12	1082
41	38	8	2612
51	21	5	1345
48	143	7	1583
102	33	43	1513
151	187	35	2379
97	83	40	860
79	115	15	747
63	90	17	1820
54	38	18	2157
29	43	6	2079
35	51	7	514
17	79	11	1911
78	94	6	2282
38	32	22	985
39	14	7	859
124	241	21	2563
40	28	5	985
39	28	8	1424
164	101	79	2751
67	57	21	1850
65	10	6	1024
183	140	33	4685
51	24	20	986
23	10	8	1864
42	38	6	950
89	99	15	2528
106	84	25	1800
108	192	7	1669
132	120	27	1802
71	52	21	1575
39	58	19	1216
66	17	38	1233
82	53	11	673
41	25	9	1630
52	40	2	658
63	76	10	2246
53	15	5	1067
28	17	4	1506
135	92	12	1342
68	21	10	1331
59	27	22	1126
51	29	15	521
74	37	17	1560
22	8	3	537
272	280	25	762
36	28	9	1194
16	3	5	1306
65	45	23	518
30	83	6	1741
89	67	19	1067
29	19	20	1546
64	63	10	1346
53	42	2	1903
37	10	17	1229
155	81	66	4129
303	100	43	2463
62	26	8	1453
55	45	15	905
23	10	14	1144
85	150	19	2082
63	40	38	1060
29	53	15	2200
35	34	38	1419
200	249	19	1494
126	79	36	2492
19	57	11	2324
73	114	16	1459
59	112	12	1151
110	109	22	2565
41	10	9	1502
239	390	25	1302
34	14	10	825
139	192	13	2261
149	150	30	710
81	35	5	577
30	11	10	640
124	175	18	869
69	26	26	1656
62	17	7	1499
30	26	3	913
31	58	6	1087
241	46	73	1208
190	50	13	452
434	238	48	516
90	82	20	991
37	34	5	1376
53	29	3	858
105	31	18	1006
41	5	26	1103
37	31	9	1248
341	54	104	1169
43	20	4	655
45	20	5	1886
170	45	51	842
26	11	4	1111
29	17	6	1063
39	16	8	1148
98	42	36	3093
120	59	22	1900
48	10	18	1130
56	43	9	1632
148	194	29	1525
54	43	5	2141
107	252	11	1774
59	26	9	1974
46	24	7	1123
81	56	16	955
69	54	39	815
96	229	21	2686
44	47	36	695
201	57	54	3136
168	34	50	1029
25	42	4	2286
115	39	7	981
42	5	12	1147
37	7	14	951
44	19	4	1469
143	59	5	942
427	151	75	1646
74	242	18	3675
147	63	14	1669
67	44	22	3364
133	98	24	511
37	61	2	638
36	33	9	982
80	65	63	1211
42	16	21	3362
31	35	3	1482
70	66	12	3543
172	445	12	2216
142	29	9	1461
33	85	3	778
275	137	15	1378
24	6	1	1602
33	54	4	2185
52	28	6	1840
44	8	11	657
51	62	5	725
96	79	10	1393
115	77	19	494
52	56	16	960
119	128	11	1529
128	48	15	490
71	232	13	2351
78	34	27	3524
52	81	11	1608
75	83	17	897
220	238	47	4321
69	118	10	903
62	68	10	905
106	90	18	1965
42	25	6	2329
138	35	27	1692
386	119	31	2278
61	58	12	2167
119	30	28	1032
27	19	3	460
70	47	18	1012
296	128	49	810
52	113	16	3004
35	25	4	849
61	26	9	2148
74	139	17	2668
178	284	19	2026
37	9	3	1296
153	41	32	1218
26	31	4	1610
169	333	22	3042
96	115	30	2348
24	29	9	536
33	38	7	1868
166	174	27	1732
31	23	3	2513
12	77	3	1736
135	160	16	687
63	42	9	774
42	13	6	1056
107	188	18	1686
108	222	18	2194
318	708	34	4539
60	38	6	1772
62	60	6	816
104	54	54	1220
115	107	8	1298
47	19	19	1230
45	55	11	1067
197	87	57	1869
40	30	6	571
97	46	26	1547
65	64	13	1351
133	101	61	2718
91	91	7	2439
53	211	26	647
96	87	25	2702
36	22	7	1999
92	136	17	1492
280	168	81	2284
118	258	16	1555
19	55	4	1096
53	39	9	961
57	29	7	2194
62	9	19	918
245	164	49	2088
43	6	4	955
125	82	43	1654
146	120	11	1990
43	47	16	1627
75	44	16	3251
16	13	16	791
74	45	27	766
62	21	31	1026
55	58	10	666
118	37	9	1611
65	16	11	975
101	48	18	596
62	47	34	726
113	51	27	1809
219	292	37	3826
64	27	10	1185
154	110	115	856
28	21	3	1061
140	69	52	4840
98	17	7	3127
71	72	10	1521
34	3	10	1083
59	62	6	2356
146	212	17	2413
72	77	46	1011
94	38	15	1356
828	318	29	2612
58	21	17	2334
150	47	13	1348
61	40	12	2055
158	64	43	4584
34	13	18	813
193	32	28	1540
48	13	6	813
172	126	30	5511
35	11	9	1603
53	24	22	1299
38	36	4	1260
55	15	5	701
53	36	11	1797
115	205	15	995
35	48	12	1895
112	468	15	3425
182	100	24	957
211	39	373	1611
58	86	17	731
44	11	8	3460
29	40	4	635
108	132	56	5510
97	110	12	1018
94	16	20	1522
48	23	3	668
107	151	21	1744
215	93	63	3187
34	45	8	1264
85	63	7	1487
62	71	30	723
47	7	26	1726
59	3	40	1731
272	132	24	1861
74	26	7	3185
44	16	39	865
87	26	30	2212
31	8	7	1374
52	13	19	1089
90	56	10	1369
237	70	27	1006
51	13	22	1538
50	67	5	1603
34	4	4	1514
26	12	8	1473
51	45	9	1647
221	151	20	2661
49	28	8	1206
43	9	4	1186
290	127	37	1433
39	29	6	1303
57	23	9	2228
62	34	8	1878
42	71	6	1401
133	31	56	1673
31	29	23	741
56	20	10	889
59	33	6	3089
13	33	3	1444
178	62	23	1706
86	61	14	1318
39	144	11	985
27	39	10	950
37	16	4	995
24	26	5	1530
301	364	36	2536
66	46	6	1645
23	29	6	579
32	16	8	1235
34	14	3	1976
88	79	31	960
83	18	53	978
23	22	4	921
11	1	5	721
46	31	22	1017
37	34	8	3787
146	55	19	1917
107	23	13	1222
30	20	3	530
79	75	6	1814
24	10	4	1493
79	42	127	1779
44	81	10	1279
411	173	40	2526
66	31	4	1439
57	105	11	1125
44	87	6	2244
65	9	16	586
66	52	15	1584
42	26	26	1547
205	119	16	2645
25	21	3	1018
145	98	20	2451
37	33	3	814
42	72	7	927
151	466	19	537
78	54	22	2026
33	57	9	635
174	79	30	1744
69	33	15	1830
184	49	21	1516
216	51	29	3290
21	10	11	1761
105	153	15	812
26	36	5	1385
112	137	31	705
50	18	37	2056
51	18	7	1214
158	193	14	1471
353	195	69	1091
42	65	7	2515
31	68	1	1867
50	16	6	1366
53	68	7	2112
156	492	13	1851
42	36	10	1685
145	38	26	676
35	9	6	1593
20	84	9	660
28	3	5	1260
247	189	25	2314
69	63	31	1447
65	116	18	968
70	35	13	1142
54	55	9	1230
174	9	19	1078
90	58	8	1660
58	11	3	1447
130	132	17	2927
100	49	12	2085
81	15	26	983
58	42	6	1463
66	114	7	2204
100	99	8	4590
140	164	11	1850
45	12	12	1350
227	65	22	2633
28	68	4	1617
42	22	8	571
27	7	4	945
20	9	1	1089
53	79	9	1230
75	76	7	1891
43	30	9	1781
42	42	6	1343
53	41	10	1744
89	57	8	1375
52	9	10	1670
41	25	3	590
17	8	1	896
59	65	7	2709
125	312	15	1926
65	50	16	1717
88	97	6	1478
49	27	4	963
28	38	6	2264
42	24	6	1369
93	160	9	2795
86	43	6	1010
30	20	3	1805
75	39	11	2407
21	20	3	878
69	205	7	578
22	36	6	1812
47	41	3	927
63	52	9	583
20	16	6	1107
146	119	13	1831
242	96	45	1082
17	25	4	891
92	131	6	1569
60	31	14	1437
76	109	11	5800
60	126	11	914
66	40	29	2345
141	196	15	2589
58	46	10	986
100	250	40	1093
63	8	9	994
63	51	4	680
31	29	7	707
95	202	6	1910
115	72	10	832
64	23	7	1469
34	56	31	1232
50	84	6	1951
197	170	11	930
16	35	3	1980
308	342	36	3026
13	18	1	1606
19	28	1	2480
26	16	9	632
18	18	22	903
27	32	8	2050
33	8	4	1369
133	198	36	3835
22	10	3	2040
34	10	0	1860
50	26	4	1036
56	73	8	661
35	28	6	909
32	50	5	1293
25	260	14	6705
29	30	5	1214
47	147	4	1503
54	187	7	915
74	49	15	1414
66	8	29	422
70	231	9	1525
190	166	15	2777
59	60	13	2192
35	22	7	1696
24	28	9	2029
66	73	17	1516
30	52	3	1697
16	55	4	672
88	96	4	462
45	163	10	2374
158	51	67	916
43	36	4	1586
151	118	42	1609
8	36	2	1076
55	83	44	951
122	67	12	982
40	22	2	1576
57	71	15	5834
26	24	6	1641
32	28	7	1639
64	111	15	1398
114	151	14	1213
20	21	2	1389
34	43	5	1396
47	27	15	1788
49	88	7	2367
54	53	18	1841
39	13	4	1839
57	25	9	1964
31	4	3	1287
146	91	14	1373
45	70	5	3331
199	37	22	1236
66	41	18	1128
73	15	10	2099
84	202	4	1116
51	50	4	1874
37	47	7	823
221	50	205	11447
97	43	29	1084
245	86	27	686
24	64	7	1736
131	77	60	879
78	79	28	960
45	53	3	1525
76	14	18	1523
72	276	6	1875
82	68	8	2343
105	154	13	1873
13	3	1	1285
31	65	6	706
130	91	22	678
86	268	6	1782
32	17	5	2015
48	35	1	1155
34	64	3	1231
33	41	6	750
161	69	12	1537
315	140	65	859
54	18	13	1209
64	19	24	1659
53	9	5	1735
127	442	14	504
45	8	18	1426
68	65	4	1857
60	47	10	1210
36	5	3	1672
168	155	25	4377
62	34	5	3242
23	16	3	1514
48	106	14	1138
84	32	8	1254
29	39	7	1903
40	49	3	1573
99	232	13	1880
52	125	2	2202
132	115	17	2963
67	93	7	2755
21	34	7	630
32	18	2	1320
35	23	3	942
59	16	2	1824
126	87	29	1637
21	66	6	1255
96	60	14	996
77	109	4	1851
73	22	6	1587
25	12	1	2014
114	46	38	751
35	27	7	1505
37	9	4	681
47	26	4	1459
65	39	10	780
55	47	14	1445
26	29	5	1490
75	11	34	1539
91	60	15	1212
119	79	36	1755
85	60	18	1520
124	129	17	2005
111	139	20	1992
101	65	15	504
87	27	4	2993
115	253	9	2155
122	90	26	2037
26	28	6	1433
46	35	2	1036
159	44	17	2436
20	80	8	926
82	368	11	1365
153	105	17	1346
35	36	4	1094
51	31	6	368
147	161	17	748
162	188	46	569
40	17	3	1796
34	28	3	991
30	11	6	1462
25	53	21	1493
66	37	9	913
21	23	2	1349
40	26	5	1173
20	13	3	1434
52	16	7	2000
91	77	22	10170
62	67	16	4314
40	24	5	1435
149	40	83	3158
106	80	9	1139
140	61	10	2800
140	20	15	1321
61	27	9	2548
28	8	2	2181
90	197	7	1814
74	96	4	2402
33	30	2	1122
29	25	2	1241
28	12	9	1177
431	403	49	1981
21	68	4	1540
2	39	2	1287
76	25	6	1865
66	47	5	2772
49	50	4	1513
21	10	4	1895
49	59	8	1630
233	53	13	1304
33	12	1	723
170	49	57	1862
33	63	0	2528
47	33	2	2899
98	101	13	1514
17	68	2	1486
30	5	2	1374
140	59	121	862
41	28	5	2161
80	57	4	1410
121	30	16	1522
73	91	11	2314
31	67	2	1279
51	36	4	1333
143	85	5	1951
53	29	14	587
32	24	3	1788
28	32	2	1159
84	111	14	3474
53	53	7	1601
86	37	7	1393
58	46	10	1235
94	56	11	1529
104	114	14	1580
392	183	119	1202
42	10	7	872
113	26	27	1093
67	101	12	1531
38	39	6	1036
112	109	13	4251
32	37	5	777
60	27	11	1670
55	110	10	716
95	81	11	1793
187	713	35	1667
19	22	2	1236
49	58	4	1731
13	39	3	1802
125	62	19	2053
81	140	42	6475
68	98	3	1717
139	177	18	3159
23	3	5	1333
43	13	5	597
34	20	4	1302
49	20	12	1060
65	60	12	2673
58	18	3	2155
141	82	66	4076
124	86	9	2520
84	145	24	966
72	88	4	2221
30	2	9	1173
733	295	45	1683
76	63	4	2042
50	21	11	3306
166	60	24	2440
86	53	9	1557
85	79	6	1404
93	122	14	2686
73	53	25	1584
43	67	0	2151
39	28	6	1250
88	71	5	1943
409	385	39	1651
52	29	2	1259
141	179	15	3419
32	25	2	888
15	12	1	2087
64	41	4	1116
69	196	7	1875
82	45	7	1700
41	42	2	1080
76	44	6	1649
49	100	6	3515
23	39	2	2186
28	12	2	1183
35	81	3	671
79	124	10	2734
30	12	8	1070
84	79	5	1281
79	222	24	2281
103	88	11	3126
60	16	4	890
57	65	10	917
83	122	12	1099
194	59	10	957
36	25	8	1395
46	68	3	1229
14	30	5	1672
22	6	4	953
81	107	9	1472
22	16	2	1777
148	64	19	1752
78	84	17	2184
16	11	1	921
40	28	10	1709
48	103	3	1884
95	220	10	2187
51	60	13	1171
55	91	5	1085
51	29	7	1876
160	50	12	2249
43	28	6	1286
26	40	2	880
71	65	8	1630
60	19	6	600
84	31	22	1430
34	11	6	1083
32	10	7	1685
50	11	5	1027
66	53	8	1418
23	20	4	1080
35	24	4	1279
46	24	9	599
157	115	43	6495
25	12	9	1537
148	308	11	2096
41	36	5	1209
43	24	8	1304
45	12	7	1231
51	79	2	876
25	29	3	2627
26	113	3	1280
54	160	9	1489
52	21	3	1337
69	92	9	2153
121	79	17	1097
19	15	3	1476
212	63	19	1362
52	22	4	1594
22	9	2	1719
175	137	18	1700
62	19	5	1368
60	62	4	3248
26	16	3	1401
33	17	2	1162
78	128	7	3921
57	138	32	2568
40	21	5	1986
24	18	3	1198
46	63	11	2526
42	36	11	1236
19	7	1	1606
46	45	1	826
32	26	6	516
81	66	2	943
56	48	4	1813
40	30	8	895
46	26	5	1343
45	20	6	2334
82	89	7	1316
61	19	15	1071
44	40	9	3217
80	143	10	2113
82	42	4	1816
58	79	7	2558
48	40	7	2389
147	48	8	1616
53	39	3	2443
176	72	31	5064
43	18	7	1580
124	31	11	834
33	9	5	948
15	23	7	1600
97	24	25	980
12	4	3	956
42	81	3	1883
129	86	10	922
89	17	22	1322
77	31	31	1158
83	69	12	1366
33	13	5	2672
488	717	51	1834
61	75	15	990
57	15	5	2450
53	160	14	3002
57	26	16	1132
66	77	16	1612
72	53	21	1204
85	92	18	1389
25	14	6	1222
44	22	20	1415
45	13	3	2588
68	24	13	1067
68	51	7	886
71	54	9	1152
48	48	6	1266
7	20	2	1660
22	13	4	2546
181	30	46	1285
108	36	9	1567
95	65	20	1607
51	31	9	872
44	14	14	2132
51	78	8	2220
49	20	4	1679
46	29	6	2302
110	108	12	2555
82	34	14	1948
52	15	10	1085
24	20	2	1651
33	25	5	1523
23	10	3	1490
85	30	6	1124
107	100	15	933
106	123	31	6300
247	95	19	899
140	77	23	729
14	18	4	1520
59	115	8	2721
59	82	9	3242
65	63	3	2408
46	36	17	1466
46	23	4	2075
53	73	8	995
58	82	3	1834
23	43	4	903
54	31	11	3424
61	24	5	751
33	48	3	1908
45	4	3	1489
80	323	11	1174
240	74	18	3985
26	23	7	1044
18	31	5	1406
68	21	4	616
24	14	6	1373
48	158	6	1972
24	26	5	720
45	53	2	1182
72	69	5	2821
42	47	1	823
29	25	4	1898
370	125	57	1153
110	31	51	2985
30	28	6	1657
26	45	5	2362
93	50	20	1993
68	33	10	2199
62	18	10	1868
34	67	3	1214
71	74	4	1230
54	58	4	2532
43	32	4	2611
61	36	11	1054
47	24	5	2535
39	112	12	1573
82	56	8	1539
71	53	9	1205
28	23	6	1500
68	110	21	4919
18	12	1	1984
46	21	10	1801
141	124	14	885
99	71	9	1767
28	56	7	992
47	33	8	2046
19	23	5	922
39	46	4	1470
29	31	7	1513
63	28	11	1310
70	46	11	2247
27	36	8	2160
96	41	20	1102
201	84	24	719
22	33	9	1547
26	21	4	1425
24	23	6	1628
17	7	1	804
72	46	16	1448
25	16	8	772
127	62	14	1969
86	69	20	916
47	148	11	2251
94	30	20	1137
71	150	15	933
