likes	coms	favs	size
356	447	84	695
151	205	98	9405
57	147	4	378
207	190	8	1852
30	222	4	1065
139	44	0	204
46	210	2	1318
51	19	8	304
110	155	9	1873
62	30	7	290
177	564	12	1602
159	358	12	1777
65	55	13	436
52	87	17	2051
73	174	15	3681
207	192	49	2111
30	74	7	660
134	242	27	282
137	315	14	858
68	25	8	1050
68	77	11	1580
172	70	11	131
25	27	4	113
103	111	7	235
98	158	22	152
70	69	9	233
233	35	9	696
76	51	4	199
30	19	2	59
154	103	46	5185
63	59	16	334
68	164	9	219
108	200	8	269
41	51	89	8580
28	104	4	202
153	165	21	4735
44	333	9	644
169	334	14	1164
174	182	11	250
71	178	37	486
127	139	22	2843
746	645	35	2144
128	291	18	4047
62	56	5	446
33	29	8	1130
68	46	14	866
26	36	9	185
30	139	9	3202
53	25	7	145
62	49	9	78
50	39	7	427
53	71	38	614
178	986	21	553
190	120	31	1487
111	80	120	5125
15	72	6	490
35	39	4	1944
336	288	104	5625
206	118	14	1118
53	35	13	1088
45	52	35	460
117	67	25	4272
30	87	2	426
24	8	1	1354
53	55	7	350
30	23	7	792
138	414	33	1413
36	28	3	621
88	190	28	2629
80	56	6	258
574	82	31	1804
334	90	1233	52066
138	225	47	5821
155	63	155	4708
209	189	104	20873
82	145	14	416
646	286	53	2628
259	233	63	1880
161	332	22	3488
260	314	34	4552
40	241	7	2066
28	54	3	1255
202	224	53	5624
155	68	10	2307
26	32	8	5205
191	24	5	204
130	227	8	2944
244	89	46	5780
64	77	4	3657
29	73	9	486
60	18	4	845
171	136	20	1849
58	68	1	519
187	322	15	5912
79	65	13	2508
43	88	6	3252
145	159	9	871
90	366	34	7451
104	89	34	2667
548	406	233	42293
199	695	59	6860
27	13	6	419
368	77	15	547
267	82	36	1964
36	39	1	1219
66	46	4	2888
59	106	5	1461
20	52	3	1075
48	18	4	589
65	42	13	1469
89	47	6	783
42	67	4	3104
124	63	19	1023
102	73	25	1964
112	107	14	5383
35	37	3	660
392	424	41	774
165	231	22	1038
563	259	81	786
97	57	5	459
383	492	62	1259
75	47	8	1869
57	34	14	693
35	10	8	217
77	33	4	573
31	27	9	1055
52	137	6	358
475	75	32	144
367	771	62	3514
90	64	6	265
87	77	14	2250
58	113	5	1924
35	53	2	2707
154	214	41	2485
86	143	12	3254
33	13	5	523
451	839	37	2890
115	73	15	3069
143	115	8	1700
88	234	6	1283
27	56	5	2127
207	485	31	5624
199	490	19	3835
172	420	81	10108
80	54	8	1871
85	80	7	2056
222	120	21	1542
131	110	20	302
49	53	2	1535
58	65	4	2128
40	38	2	1444
62	140	7	6910
264	430	30	6119
46	85	11	2155
326	294	61	524
149	402	29	4892
72	215	4	2791
73	16	7	1989
88	130	11	3526
123	168	8	3064
205	63	23	1063
61	47	3	1289
107	157	23	768
178	261	33	3953
70	48	2	270
218	322	29	6031
209	274	13	1359
33	103	6	208
37	53	7	3128
180	571	34	1443
100	69	10	540
70	102	5	988
79	100	8	882
112	281	15	3423
91	186	16	827
47	54	10	2380
274	100	10	1616
144	119	20	512
45	31	5	4830
270	126	20	1050
166	815	15	2471
278	278	19	2319
190	239	18	4969
46	76	4	1745
106	106	49	752
46	27	6	685
37	46	5	2018
70	38	12	2437
126	132	4	1281
21	5	3	620
66	412	16	12339
87	111	6	2068
161	261	27	15485
62	37	1	2157
85	205	3	2113
141	108	16	2880
50	73	6	2496
56	33	16	552
419	159	40	675
422	469	107	7437
53	35	7	1514
71	28	8	1069
84	338	8	1528
189	222	15	1433
95	213	19	3901
427	803	74	5112
37	30	2	1016
41	68	3	1743
170	153	11	1008
59	125	14	3272
52	166	5	1069
332	512	85	2272
97	82	21	4812
38	53	7	1265
79	96	25	8663
125	108	3	2054
746	246	89	4010
52	45	3	1450
79	67	13	10216
62	270	3	744
112	73	5	770
135	173	6	2162
17	9	0	1907
87	77	86	538
126	205	15	1679
107	145	7	2130
246	133	12	2341
64	121	5	2489
57	62	6	2725
304	289	22	5383
195	109	23	3577
62	77	9	3268
42	16	5	725
96	29	21	1209
51	59	3	1918
85	168	6	1529
41	23	7	1529
52	75	16	5185
46	38	13	6228
86	21	8	781
286	180	74	2257
76	155	7	2861
88	75	11	1942
227	386	18	5673
409	377	36	6720
64	87	22	1611
418	242	54	318
133	29	10	1407
63	41	6	1310
56	19	59	3826
103	90	4	2069
369	137	19	4386
211	126	21	1952
80	269	6	1323
40	56	5	2318
43	69	26	2904
129	130	101	12202
65	71	10	716
255	194	26	447
89	84	7	2735
186	306	37	19549
174	189	12	2812
133	208	19	3322
23	59	3	1314
116	130	14	1106
63	332	9	1969
36	158	9	4338
63	32	4	1553
76	104	7	2117
183	294	47	10943
81	85	8	1105
53	59	10	2033
97	118	13	3646
142	117	14	2163
96	91	60	5483
44	63	3	1676
35	31	8	343
37	68	2	1056
43	17	12	1070
43	55	2	2269
164	87	28	1715
35	22	8	2155
50	163	4	1531
145	177	5	1887
157	82	11	1716
92	108	3	1957
32	76	4	1173
42	39	2	899
118	138	4	1210
90	166	9	2344
72	64	4	2225
265	61	12	1935
115	181	4	1673
51	191	9	654
29	20	0	1722
9	35	1	522
29	19	10	831
33	17	11	1020
76	151	2	1912
42	55	3	389
222	236	10	2094
34	45	3	1571
72	373	9	3079
45	70	3	4241
41	45	5	2098
69	196	6	1760
33	59	1	1446
36	42	1	221
29	11	6	550
35	35	4	635
42	172	0	1055
18	10	4	253
35	21	4	1150
75	103	7	1317
32	27	4	910
39	172	23	1720
18	90	3	2767
46	52	6	1434
130	111	15	3306
53	37	2	2416
84	115	12	1559
31	22	3	1903
83	80	13	3644
106	135	8	10977
256	198	7	1622
42	11	7	5931
30	96	5	10129
123	125	28	5063
74	108	9	2925
39	41	9	1572
232	208	27	1329
192	104	7	3095
22	23	2	986
333	442	30	661
41	72	3	1822
73	37	4	746
233	134	13	2985
62	46	10	2280
88	116	9	1367
107	48	6	579
199	123	23	935
65	68	2	2261
224	95	10	2168
43	27	7	420
46	34	9	572
40	16	2	1629
40	23	7	1752
